endpoint	endpoint_label	match_scope	match_scope_label	top_type	cutoff	ranking_method	ranking_label	ranking_column	ranking_direction	n_patients	median_delta_hit_rate_vs_ic50	mean_delta_hit_rate_vs_ic50	median_delta_hits_vs_ic50	sum_delta_hits_vs_ic50	patients_better_than_ic50	patients_same_as_ic50	patients_worse_than_ic50	median_method_hit_rate	median_ic50_hit_rate
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	40	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.005000000000000004	0.0	-6	7	15	8	0.23128342245989303	0.25
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	borda	Borda	Borda_Rank	lower_better	30	0.0	0.01	0.0	15	7	18	5	0.26	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.008	0.0	12	8	16	6	0.255	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.00933333333333333	0.0	14	6	17	7	0.24	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	net_degree	Network degree	Net_Degree	higher_better	30	0.0	0.012666666666666666	0.0	19	7	18	5	0.26	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.01	0.0	15	7	19	4	0.24	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.009333333333333332	0.0	14	7	19	4	0.245	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.003333333333333335	0.0	5	7	16	7	0.2376470588235294	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide	Relaxed min-8 peptide match	topn	50	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	-0.004666666666666665	0.0	-7	6	17	7	0.2376470588235294	0.2376470588235294
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	borda	Borda	Borda_Rank	lower_better	30	0.0	0.030886923060836107	0.0	2	10	13	7	0.05718954248366013	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.030330844678670765	0.0	-2	7	15	8	0.0	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	net_betweenness	Network betweenness	Net_Betweenness	higher_better	30	0.0	0.05910190204644371	0.0	5	10	14	6	0.027777777777777776	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	net_degree	Network degree	Net_Degree	higher_better	30	0.02631578947368421	0.1000927630373047	0.5	11	15	9	6	0.10818713450292397	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	net_impact	Network impact	Net_Impact	higher_better	30	0.0	0.06080129765888279	0.0	8	13	10	7	0.1	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	net_strength	Network strength	Net_Strength	higher_better	30	0.0	0.06958125408589805	0.0	7	12	11	7	0.09166666666666667	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	net_wci	Network WCI	Net_WCI	higher_better	30	0.0	0.03866178660632826	0.0	3	9	14	7	0.07107843137254902	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	10	tumor_dna_vaf	Tumor DNA VAF	Tumor DNA VAF	higher_better	30	0.0	0.008139135782829416	0.0	0	9	13	8	0.0	0.02631578947368421
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	20	borda	Borda	Borda_Rank	lower_better	30	0.0	0.020706025597666468	0.0	5	12	10	8	0.1	0.08452380952380953
strict_positive_experimental	Strict positive experimental evidence	relaxed_min8_peptide_cov50	Relaxed min-8 + ≥50% longer-peptide coverage	percent	20	depmap_survivability	DepMap survivability	Depmap_survivability_score	lower_better	30	0.0	0.02891370273723215	0.0	5	12	10	8	0.08957219251336898	0.08452380952380953
