endpoint	match_scope	top_type	cutoff	ranking_method	ranking_label	old_median_delta_hit_rate_vs_ic50	old_patients_better_than_ic50	old_patients_same_as_ic50	old_patients_worse_than_ic50	new_median_delta_hit_rate_vs_ic50	new_patients_better_than_ic50	new_patients_same_as_ic50	new_patients_worse_than_ic50	delta_new_minus_old	delta_new_minus_old_pct_points
strict_positive_experimental	relaxed_min8_peptide	topn	40	net_strength	Network strength	0.0	10	14	6	0.0	10	14	6	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	40	net_wci	Network WCI	0.0	10	12	8	0.0	10	12	8	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	40	tumor_dna_vaf	Tumor DNA VAF	0.0	7	15	8	0.0	7	15	8	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	borda	Borda	0.0	7	18	5	0.0	7	18	5	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	depmap_survivability	DepMap survivability	0.0	8	16	6	0.0	8	16	6	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	net_betweenness	Network betweenness	0.0	6	17	7	0.0	6	17	7	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	net_degree	Network degree	0.0	7	18	5	0.0	7	18	5	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	net_impact	Network impact	0.0	7	19	4	0.0	7	19	4	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	net_strength	Network strength	0.0	7	19	4	0.0	7	19	4	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	net_wci	Network WCI	0.0	7	16	7	0.0	7	16	7	0.0	0.0
strict_positive_experimental	relaxed_min8_peptide	topn	50	tumor_dna_vaf	Tumor DNA VAF	0.0	6	17	7	0.0	6	17	7	0.0	0.0
